2021-11-24 02:27:34,406 - exp name: KL_model_pool
2021-11-24 02:28:27,918 - env_pool: 5250, model_pool: 0
2021-11-24 02:28:28,240 - model_epoch: 0, losses_avg: 0.234570, losses_std: 0.016263
2021-11-24 02:28:49,192 - model_epoch: 100, losses_avg: 0.025135, losses_std: 0.001582
2021-11-24 02:29:10,263 - model_epoch: 200, losses_avg: 0.020335, losses_std: 0.001451
2021-11-24 02:29:31,289 - model_epoch: 300, losses_avg: 0.018175, losses_std: 0.001072
2021-11-24 02:29:36,111 - model_epoch: 323, losses_avg: 0.017539, losses_std: 0.000904
2021-11-24 04:35:25,959 - exp name: KL_model_pool
2021-11-24 04:36:03,615 - exp name: KL_model_pool
2021-11-24 04:36:33,604 - env_pool: 5001, model_pool: 0
2021-11-24 04:36:33,971 - env_pool: 5002, model_pool: 0
2021-11-24 04:36:33,976 - env_pool: 5003, model_pool: 0
2021-11-24 04:36:33,980 - env_pool: 5004, model_pool: 0
2021-11-24 04:36:33,985 - env_pool: 5005, model_pool: 0
2021-11-24 04:36:34,338 - env_pool: 5006, model_pool: 0
2021-11-24 04:36:34,343 - env_pool: 5007, model_pool: 0
2021-11-24 04:36:34,348 - env_pool: 5008, model_pool: 0
2021-11-24 04:36:34,352 - env_pool: 5009, model_pool: 0
2021-11-24 04:36:34,707 - env_pool: 5010, model_pool: 0
2021-11-24 04:36:34,711 - env_pool: 5011, model_pool: 0
2021-11-24 04:36:34,716 - env_pool: 5012, model_pool: 0
2021-11-24 04:36:34,721 - env_pool: 5013, model_pool: 0
2021-11-24 04:36:35,075 - env_pool: 5014, model_pool: 0
2021-11-24 04:36:35,079 - env_pool: 5015, model_pool: 0
2021-11-24 04:36:35,084 - env_pool: 5016, model_pool: 0
2021-11-24 04:36:35,089 - env_pool: 5017, model_pool: 0
2021-11-24 04:36:35,442 - env_pool: 5018, model_pool: 0
2021-11-24 04:36:35,446 - env_pool: 5019, model_pool: 0
2021-11-24 04:36:35,451 - env_pool: 5020, model_pool: 0
2021-11-24 04:36:35,456 - env_pool: 5021, model_pool: 0
2021-11-24 04:36:35,809 - env_pool: 5022, model_pool: 0
2021-11-24 04:36:35,813 - env_pool: 5023, model_pool: 0
2021-11-24 04:36:35,818 - env_pool: 5024, model_pool: 0
2021-11-24 04:36:35,823 - env_pool: 5025, model_pool: 0
2021-11-24 04:36:36,176 - env_pool: 5026, model_pool: 0
2021-11-24 04:36:36,181 - env_pool: 5027, model_pool: 0
2021-11-24 04:36:36,185 - env_pool: 5028, model_pool: 0
2021-11-24 04:36:36,190 - env_pool: 5029, model_pool: 0
2021-11-24 04:36:36,542 - env_pool: 5030, model_pool: 0
2021-11-24 04:36:36,547 - env_pool: 5031, model_pool: 0
2021-11-24 04:36:36,552 - env_pool: 5032, model_pool: 0
2021-11-24 04:36:36,556 - env_pool: 5033, model_pool: 0
2021-11-24 04:36:36,910 - env_pool: 5034, model_pool: 0
2021-11-24 04:36:36,914 - env_pool: 5035, model_pool: 0
2021-11-24 04:36:36,919 - env_pool: 5036, model_pool: 0
2021-11-24 04:36:36,924 - env_pool: 5037, model_pool: 0
2021-11-24 04:36:37,279 - env_pool: 5038, model_pool: 0
2021-11-24 04:36:37,284 - env_pool: 5039, model_pool: 0
2021-11-24 04:36:37,288 - env_pool: 5040, model_pool: 0
2021-11-24 04:36:37,293 - env_pool: 5041, model_pool: 0
2021-11-24 04:36:37,647 - env_pool: 5042, model_pool: 0
2021-11-24 04:36:37,651 - env_pool: 5043, model_pool: 0
2021-11-24 04:36:37,656 - env_pool: 5044, model_pool: 0
2021-11-24 04:36:37,660 - env_pool: 5045, model_pool: 0
2021-11-24 04:36:38,014 - env_pool: 5046, model_pool: 0
2021-11-24 04:36:38,018 - env_pool: 5047, model_pool: 0
2021-11-24 04:36:38,023 - env_pool: 5048, model_pool: 0
2021-11-24 04:36:38,028 - env_pool: 5049, model_pool: 0
2021-11-24 04:36:38,381 - env_pool: 5050, model_pool: 0
2021-11-24 04:36:38,386 - env_pool: 5051, model_pool: 0
2021-11-24 04:36:38,390 - env_pool: 5052, model_pool: 0
2021-11-24 04:36:38,395 - env_pool: 5053, model_pool: 0
2021-11-24 04:36:38,749 - env_pool: 5054, model_pool: 0
2021-11-24 04:36:38,754 - env_pool: 5055, model_pool: 0
2021-11-24 04:36:38,758 - env_pool: 5056, model_pool: 0
2021-11-24 04:36:38,763 - env_pool: 5057, model_pool: 0
2021-11-24 04:36:39,117 - env_pool: 5058, model_pool: 0
2021-11-24 04:36:39,121 - env_pool: 5059, model_pool: 0
2021-11-24 04:36:39,126 - env_pool: 5060, model_pool: 0
2021-11-24 04:36:39,131 - env_pool: 5061, model_pool: 0
2021-11-24 04:36:39,484 - env_pool: 5062, model_pool: 0
2021-11-24 04:36:39,488 - env_pool: 5063, model_pool: 0
2021-11-24 04:36:39,493 - env_pool: 5064, model_pool: 0
2021-11-24 04:36:39,498 - env_pool: 5065, model_pool: 0
2021-11-24 04:36:39,851 - env_pool: 5066, model_pool: 0
2021-11-24 04:36:39,855 - env_pool: 5067, model_pool: 0
2021-11-24 04:36:39,860 - env_pool: 5068, model_pool: 0
2021-11-24 04:36:39,865 - env_pool: 5069, model_pool: 0
2021-11-24 04:36:40,218 - env_pool: 5070, model_pool: 0
2021-11-24 04:36:40,224 - env_pool: 5071, model_pool: 0
2021-11-24 04:36:40,228 - env_pool: 5072, model_pool: 0
2021-11-24 04:36:40,233 - env_pool: 5073, model_pool: 0
2021-11-24 04:36:40,586 - env_pool: 5074, model_pool: 0
2021-11-24 04:36:40,590 - env_pool: 5075, model_pool: 0
2021-11-24 04:36:40,595 - env_pool: 5076, model_pool: 0
2021-11-24 04:36:40,600 - env_pool: 5077, model_pool: 0
2021-11-24 04:36:40,955 - env_pool: 5078, model_pool: 0
2021-11-24 04:36:40,960 - env_pool: 5079, model_pool: 0
2021-11-24 04:36:40,965 - env_pool: 5080, model_pool: 0
2021-11-24 04:36:40,969 - env_pool: 5081, model_pool: 0
2021-11-24 04:36:41,323 - env_pool: 5082, model_pool: 0
2021-11-24 04:36:41,327 - env_pool: 5083, model_pool: 0
2021-11-24 04:36:41,332 - env_pool: 5084, model_pool: 0
2021-11-24 04:36:41,337 - env_pool: 5085, model_pool: 0
2021-11-24 04:36:41,690 - env_pool: 5086, model_pool: 0
2021-11-24 04:36:41,695 - env_pool: 5087, model_pool: 0
2021-11-24 04:36:41,700 - env_pool: 5088, model_pool: 0
2021-11-24 04:36:41,706 - env_pool: 5089, model_pool: 0
2021-11-24 04:36:42,090 - env_pool: 5090, model_pool: 0
2021-11-24 04:36:42,096 - env_pool: 5091, model_pool: 0
2021-11-24 04:36:42,101 - env_pool: 5092, model_pool: 0
2021-11-24 04:36:42,106 - env_pool: 5093, model_pool: 0
2021-11-24 04:36:42,490 - env_pool: 5094, model_pool: 0
