2021-11-27 19:58:41,120 - exp name: KL_model_pool_0
2021-11-27 20:04:31,061 - total_step: 1000, sum_reward: 206.6453995653206
2021-11-27 20:11:10,436 - total_step: 2000, sum_reward: 261.68501539581115
2021-11-27 20:14:21,773 - total_step: 3000, sum_reward: 285.41796692776524
2021-11-27 20:25:05,033 - total_step: 4000, sum_reward: 335.94814437067225
2021-11-27 20:28:42,144 - total_step: 5000, sum_reward: 316.4554384155333
2021-11-27 20:32:03,968 - total_step: 6000, sum_reward: 308.28686349299466
2021-11-27 20:35:29,294 - total_step: 7000, sum_reward: 393.15267294635953
2021-11-27 20:46:03,014 - total_step: 8000, sum_reward: 244.32674126558425
2021-11-27 20:56:53,214 - total_step: 9000, sum_reward: 339.9467398083174
2021-11-27 21:02:57,513 - total_step: 10000, sum_reward: 324.4751894876103
2021-11-27 21:06:42,088 - total_step: 11000, sum_reward: 332.7128556427049
2021-11-27 21:10:06,905 - total_step: 12000, sum_reward: 350.0374835360221
2021-11-27 21:13:50,805 - total_step: 13000, sum_reward: 295.1306243729322
2021-11-27 21:17:45,728 - total_step: 14000, sum_reward: 327.414506297313
2021-11-27 21:21:19,585 - total_step: 15000, sum_reward: 318.54793731864044
2021-11-27 21:32:22,107 - total_step: 16000, sum_reward: 353.8375899567459
2021-11-27 21:43:29,439 - total_step: 17000, sum_reward: 632.1377123092363
2021-11-27 21:54:45,956 - total_step: 18000, sum_reward: 436.3509772561926
2021-11-27 22:06:14,026 - total_step: 19000, sum_reward: 466.63407283552647
2021-11-27 22:17:35,976 - total_step: 20000, sum_reward: 224.60930749185448
2021-11-27 22:22:02,652 - total_step: 21000, sum_reward: 291.17772020553
2021-11-27 22:26:12,655 - total_step: 22000, sum_reward: 534.2429221047939
2021-11-27 22:30:12,123 - total_step: 23000, sum_reward: 790.6439094615853
2021-11-27 22:34:47,525 - total_step: 24000, sum_reward: 2208.3729330693504
2021-11-27 22:39:35,216 - total_step: 25000, sum_reward: 2316.3881483682608
2021-11-27 22:44:30,118 - total_step: 26000, sum_reward: 1075.3572968765202
2021-11-27 22:50:28,497 - total_step: 27000, sum_reward: 869.7004735519915
2021-11-27 22:55:12,620 - total_step: 28000, sum_reward: 794.2026762788878
2021-11-27 23:00:18,587 - total_step: 29000, sum_reward: 2494.1455188482087
2021-11-27 23:07:26,114 - total_step: 30000, sum_reward: 2431.1831282379057
2021-11-27 23:16:12,144 - total_step: 31000, sum_reward: 2699.7254981306824
2021-11-27 23:28:46,569 - total_step: 32000, sum_reward: 2686.5458226377946
2021-11-27 23:41:47,331 - total_step: 33000, sum_reward: 1197.3114643630856
2021-11-27 23:54:27,519 - total_step: 34000, sum_reward: 910.2478394995335
2021-11-28 00:07:34,767 - total_step: 35000, sum_reward: 998.7051107485613
2021-11-28 00:19:48,332 - total_step: 36000, sum_reward: 1157.7037045058237
2021-11-28 00:34:19,132 - total_step: 37000, sum_reward: 748.4036451027835
2021-11-28 00:48:33,794 - total_step: 38000, sum_reward: 1700.2667846565955
2021-11-28 01:01:01,205 - total_step: 39000, sum_reward: 1186.7013235172146
2021-11-28 01:14:14,442 - total_step: 40000, sum_reward: 2968.4827032933185
2021-11-28 01:27:45,923 - total_step: 41000, sum_reward: 2880.2459285262944
2021-11-28 01:35:41,552 - total_step: 42000, sum_reward: 3005.090511287767
2021-11-28 01:41:15,353 - total_step: 43000, sum_reward: 3151.3384989212113
2021-11-28 01:47:12,866 - total_step: 44000, sum_reward: 2961.5759628319797
2021-11-28 01:53:13,084 - total_step: 45000, sum_reward: 3056.200695938489
2021-11-28 01:58:21,209 - total_step: 46000, sum_reward: 1179.0369950921397
2021-11-28 02:04:42,036 - total_step: 47000, sum_reward: 3074.253198544939
2021-11-28 02:10:19,351 - total_step: 48000, sum_reward: 3145.253217904083
2021-11-28 02:15:58,405 - total_step: 49000, sum_reward: 1601.3789327145153
2021-11-28 02:22:00,386 - total_step: 50000, sum_reward: 3068.940687276903
2021-11-28 02:27:29,381 - total_step: 51000, sum_reward: 3185.5063616051134
2021-11-28 02:33:23,143 - total_step: 52000, sum_reward: 3247.961387508935
2021-11-28 02:39:54,316 - total_step: 53000, sum_reward: 3225.1675230579935
2021-11-28 02:45:31,559 - total_step: 54000, sum_reward: 1093.5713725717033
2021-11-28 02:52:00,891 - total_step: 55000, sum_reward: 3256.265398907145
2021-11-28 02:58:25,120 - total_step: 56000, sum_reward: 1743.4515479063707
2021-11-28 03:04:41,474 - total_step: 57000, sum_reward: 3185.486640140216
2021-11-28 03:10:56,261 - total_step: 58000, sum_reward: 3150.117552697662
2021-11-28 03:16:43,176 - total_step: 59000, sum_reward: 3162.881140316197
2021-11-28 03:22:18,684 - total_step: 60000, sum_reward: 3165.3510756456044
2021-11-28 03:27:49,341 - total_step: 61000, sum_reward: 3165.9049387280043
2021-11-28 03:34:35,204 - total_step: 62000, sum_reward: 3140.5330344238605
2021-11-28 03:40:19,163 - total_step: 63000, sum_reward: 3221.599684137483
2021-11-28 03:54:12,051 - total_step: 64000, sum_reward: 3168.1857220399147
2021-11-28 04:08:18,086 - total_step: 65000, sum_reward: 3267.9600408858837
2021-11-28 04:22:24,994 - total_step: 66000, sum_reward: 3152.673372640695
2021-11-28 04:37:01,741 - total_step: 67000, sum_reward: 3213.8009024026537
2021-11-28 04:50:40,458 - total_step: 68000, sum_reward: 3265.06582893399
2021-11-28 05:05:24,054 - total_step: 69000, sum_reward: 3181.3199894128716
2021-11-28 05:19:06,563 - total_step: 70000, sum_reward: 3144.3516177495517
2021-11-28 05:32:50,987 - total_step: 71000, sum_reward: 3132.817198399986
2021-11-28 05:47:01,272 - total_step: 72000, sum_reward: 222.85350086511448
2021-11-28 06:00:13,313 - total_step: 73000, sum_reward: 3172.6259059586546
2021-11-28 06:14:32,098 - total_step: 74000, sum_reward: 3190.648548554769
2021-11-28 06:28:17,169 - total_step: 75000, sum_reward: 3163.483544322464
2021-11-28 06:42:46,280 - total_step: 76000, sum_reward: 3289.488335323398
2021-11-28 06:56:06,877 - total_step: 77000, sum_reward: 3232.942903698463
2021-11-28 07:09:54,531 - total_step: 78000, sum_reward: 3237.98147336959
2021-11-28 07:24:48,483 - total_step: 79000, sum_reward: 3180.6226268745236
2021-11-28 07:39:20,371 - total_step: 80000, sum_reward: 3182.4599761909376
2021-11-28 07:53:55,999 - total_step: 81000, sum_reward: 3200.6741535813026
2021-11-28 08:08:26,242 - total_step: 82000, sum_reward: 3158.4286742050895
2021-11-28 08:22:21,443 - total_step: 83000, sum_reward: 3189.2596615184752
2021-11-28 08:37:33,211 - total_step: 84000, sum_reward: 3205.381290609
2021-11-28 08:44:01,736 - total_step: 85000, sum_reward: 3161.026141383573
2021-11-28 08:51:12,022 - total_step: 86000, sum_reward: 3189.131886442668
2021-11-28 08:58:14,313 - total_step: 87000, sum_reward: 3261.999516888233
2021-11-28 09:05:34,572 - total_step: 88000, sum_reward: 3224.322661405642
2021-11-28 09:12:39,806 - total_step: 89000, sum_reward: 3172.157020155059
2021-11-28 09:20:18,579 - total_step: 90000, sum_reward: 3203.9187022806022
2021-11-28 09:27:13,821 - total_step: 91000, sum_reward: 3194.6669910757128
2021-11-28 09:35:07,950 - total_step: 92000, sum_reward: 3191.668655653822
2021-11-28 09:42:19,875 - total_step: 93000, sum_reward: 3171.9609743546002
2021-11-28 09:50:08,449 - total_step: 94000, sum_reward: 3181.865847874193
2021-11-28 09:56:48,271 - total_step: 95000, sum_reward: 3217.800781741091
