2021-11-29 19:20:59,889 - exp name: KL_model_pool_2
2021-11-29 19:21:25,198 - exp name: KL_model_pool_2
2021-11-29 19:25:58,803 - exp name: KL_model_pool_2
2021-11-29 19:31:45,633 - total_step: 1000, sum_reward: 169.9827465217024
2021-11-29 19:39:06,019 - total_step: 2000, sum_reward: 272.80458786419723
2021-11-29 19:42:19,472 - total_step: 3000, sum_reward: 1059.313837822647
2021-11-29 19:52:58,412 - total_step: 4000, sum_reward: 396.436277764813
2021-11-29 19:56:20,178 - total_step: 5000, sum_reward: 366.880390404658
2021-11-29 19:59:56,130 - total_step: 6000, sum_reward: 347.37698540288966
2021-11-29 20:03:27,614 - total_step: 7000, sum_reward: 242.2717805445029
2021-11-29 20:14:40,318 - total_step: 8000, sum_reward: 430.35325555904654
2021-11-29 20:25:40,520 - total_step: 9000, sum_reward: 230.60508892680508
2021-11-29 20:32:22,315 - total_step: 10000, sum_reward: 327.25181777635095
2021-11-29 20:35:44,219 - total_step: 11000, sum_reward: 258.28154217725734
2021-11-29 20:39:08,501 - total_step: 12000, sum_reward: 536.8454329044091
2021-11-29 20:42:59,614 - total_step: 13000, sum_reward: 139.73505411378713
2021-11-29 20:46:49,953 - total_step: 14000, sum_reward: 393.0361565360321
2021-11-29 20:50:49,968 - total_step: 15000, sum_reward: 349.4101628756305
2021-11-29 21:03:25,670 - total_step: 16000, sum_reward: 585.6244653530705
2021-11-29 21:14:43,387 - total_step: 17000, sum_reward: 424.444800684092
2021-11-29 21:26:44,485 - total_step: 18000, sum_reward: 564.4603009184068
2021-11-29 21:38:36,429 - total_step: 19000, sum_reward: 1487.094429201857
2021-11-29 21:50:27,392 - total_step: 20000, sum_reward: 589.1090046839403
2021-11-29 21:55:09,012 - total_step: 21000, sum_reward: 737.1243412568462
2021-11-29 21:59:05,927 - total_step: 22000, sum_reward: 498.42198792534094
2021-11-29 22:03:06,496 - total_step: 23000, sum_reward: 619.198455674174
2021-11-29 22:07:21,984 - total_step: 24000, sum_reward: 487.23091881636543
2021-11-29 22:11:26,573 - total_step: 25000, sum_reward: 709.1271536793361
2021-11-29 22:16:05,048 - total_step: 26000, sum_reward: 2209.602719783722
2021-11-29 22:20:58,080 - total_step: 27000, sum_reward: 854.1734234950557
2021-11-29 22:26:09,033 - total_step: 28000, sum_reward: 1907.465030734588
2021-11-29 22:31:40,697 - total_step: 29000, sum_reward: 833.8050217603363
2021-11-29 22:37:06,602 - total_step: 30000, sum_reward: 984.1223241049466
2021-11-29 22:42:36,952 - total_step: 31000, sum_reward: 1301.5260185681439
2021-11-29 22:54:48,826 - total_step: 32000, sum_reward: 3022.3394816845453
2021-11-29 23:07:13,806 - total_step: 33000, sum_reward: 1169.959632789807
2021-11-29 23:20:06,113 - total_step: 34000, sum_reward: 1321.7847378302665
2021-11-29 23:35:45,067 - total_step: 35000, sum_reward: 1309.3786111042657
2021-11-29 23:48:18,866 - total_step: 36000, sum_reward: 3330.7709865749007
2021-11-30 00:02:54,053 - total_step: 37000, sum_reward: 3244.057667965621
2021-11-30 00:15:39,339 - total_step: 38000, sum_reward: 3201.9892740897
2021-11-30 00:29:05,463 - total_step: 39000, sum_reward: 3324.389455623375
2021-11-30 00:42:03,481 - total_step: 40000, sum_reward: 3226.0064226805075
2021-11-30 00:54:30,734 - total_step: 41000, sum_reward: 3331.6427897511335
2021-11-30 01:01:57,790 - total_step: 42000, sum_reward: 3321.40315488544
2021-11-30 01:07:19,491 - total_step: 43000, sum_reward: 3379.5040119823148
2021-11-30 01:11:56,927 - total_step: 44000, sum_reward: 1099.949645405472
2021-11-30 01:16:39,085 - total_step: 45000, sum_reward: 3391.3341394095705
2021-11-30 01:21:38,218 - total_step: 46000, sum_reward: 3366.1800650205523
2021-11-30 01:27:03,636 - total_step: 47000, sum_reward: 3378.2814270762697
2021-11-30 01:35:08,827 - total_step: 48000, sum_reward: 3419.3170470611294
2021-11-30 01:39:56,280 - total_step: 49000, sum_reward: 3315.5941971448233
2021-11-30 01:46:15,252 - total_step: 50000, sum_reward: 3372.788761746283
2021-11-30 01:52:04,327 - total_step: 51000, sum_reward: 3324.5065891444083
2021-11-30 01:59:43,371 - total_step: 52000, sum_reward: 3379.4133289964375
2021-11-30 02:04:59,248 - total_step: 53000, sum_reward: 3379.3118422443663
2021-11-30 02:10:28,830 - total_step: 54000, sum_reward: 3382.243848906715
2021-11-30 02:15:43,705 - total_step: 55000, sum_reward: 3247.735601979488
2021-11-30 02:22:57,417 - total_step: 56000, sum_reward: 3416.5350503594595
2021-11-30 02:29:06,412 - total_step: 57000, sum_reward: 3411.329133405944
2021-11-30 02:34:08,353 - total_step: 58000, sum_reward: 3461.3292057293543
2021-11-30 02:39:36,574 - total_step: 59000, sum_reward: 3432.145648859606
2021-11-30 02:45:32,680 - total_step: 60000, sum_reward: 1079.4940804716878
2021-11-30 02:52:03,876 - total_step: 61000, sum_reward: 3308.894067553291
2021-11-30 02:57:36,546 - total_step: 62000, sum_reward: 3363.1454017315364
2021-11-30 03:03:08,896 - total_step: 63000, sum_reward: 3330.5925110186495
2021-11-30 03:16:36,677 - total_step: 64000, sum_reward: 1190.8849380062343
2021-11-30 03:30:18,364 - total_step: 65000, sum_reward: 1138.3580022300614
2021-11-30 03:44:30,103 - total_step: 66000, sum_reward: 2067.6224200626953
2021-11-30 03:58:03,016 - total_step: 67000, sum_reward: 467.66589692882405
2021-11-30 04:11:19,013 - total_step: 68000, sum_reward: 3431.9614148045475
2021-11-30 04:24:53,079 - total_step: 69000, sum_reward: 3527.3212614253293
2021-11-30 04:39:09,964 - total_step: 70000, sum_reward: 421.20328117505863
2021-11-30 04:52:40,232 - total_step: 71000, sum_reward: 3414.5396822224634
2021-11-30 05:06:47,392 - total_step: 72000, sum_reward: 3393.8173675274998
2021-11-30 05:20:37,809 - total_step: 73000, sum_reward: 3310.0858057006317
2021-11-30 05:34:21,829 - total_step: 74000, sum_reward: 3340.1716413062823
2021-11-30 05:48:43,461 - total_step: 75000, sum_reward: 3327.9751428355275
