2021-11-30 22:33:00,137 - exp name: KL_model_pool_3
2021-11-30 22:33:06,358 - exp name: KL_model_pool_3
2021-11-30 22:38:36,255 - total_step: 1000, sum_reward: 175.0300986318964
2021-11-30 22:45:26,424 - total_step: 2000, sum_reward: 183.22567186308967
2021-11-30 22:49:13,155 - total_step: 3000, sum_reward: 1017.0601050057314
2021-11-30 23:00:43,311 - total_step: 4000, sum_reward: 1008.9653391302495
2021-11-30 23:04:31,216 - total_step: 5000, sum_reward: 1013.0558373614593
2021-11-30 23:08:10,287 - total_step: 6000, sum_reward: 1050.7018680250492
2021-11-30 23:11:48,416 - total_step: 7000, sum_reward: 1021.7503970786585
2021-11-30 23:23:42,531 - total_step: 8000, sum_reward: 372.971959376654
2021-11-30 23:34:38,585 - total_step: 9000, sum_reward: 361.8897098465296
2021-11-30 23:40:51,956 - total_step: 10000, sum_reward: 389.48997558362703
2021-11-30 23:44:17,171 - total_step: 11000, sum_reward: 2.2154146982186678
2021-11-30 23:48:40,201 - total_step: 12000, sum_reward: 983.5249166580671
2021-11-30 23:52:38,395 - total_step: 13000, sum_reward: 982.8359672070974
2021-11-30 23:56:15,619 - total_step: 14000, sum_reward: 995.6452416195849
2021-11-30 23:59:46,549 - total_step: 15000, sum_reward: 1001.8772276348458
2021-12-01 00:10:49,763 - total_step: 16000, sum_reward: 431.3146933493234
2021-12-01 00:23:07,227 - total_step: 17000, sum_reward: 302.0012101886549
2021-12-01 00:34:48,393 - total_step: 18000, sum_reward: 364.5413797229642
2021-12-01 00:46:28,338 - total_step: 19000, sum_reward: 539.8991176584866
2021-12-01 00:57:52,961 - total_step: 20000, sum_reward: 373.2042148894552
2021-12-01 01:01:50,636 - total_step: 21000, sum_reward: 311.5567811777791
2021-12-01 01:05:50,505 - total_step: 22000, sum_reward: 269.7808181729472
2021-12-01 01:09:51,628 - total_step: 23000, sum_reward: 316.18980376602315
2021-12-01 01:14:06,388 - total_step: 24000, sum_reward: 1037.1625118296877
2021-12-01 01:18:32,349 - total_step: 25000, sum_reward: 298.5071074802269
2021-12-01 01:22:48,792 - total_step: 26000, sum_reward: 336.16936496302156
2021-12-01 01:27:13,973 - total_step: 27000, sum_reward: 349.996272575462
2021-12-01 01:32:28,024 - total_step: 28000, sum_reward: 518.7409662541878
2021-12-01 01:37:14,805 - total_step: 29000, sum_reward: 454.1007867577955
2021-12-01 01:44:02,680 - total_step: 30000, sum_reward: 548.8289829706302
2021-12-01 01:49:07,730 - total_step: 31000, sum_reward: 1051.406662718589
2021-12-01 02:00:51,742 - total_step: 32000, sum_reward: 581.2657368754001
2021-12-01 02:13:13,569 - total_step: 33000, sum_reward: 872.086679620849
2021-12-01 02:26:05,419 - total_step: 34000, sum_reward: 560.0650244471765
2021-12-01 02:39:06,131 - total_step: 35000, sum_reward: 471.5949641990331
2021-12-01 02:50:53,211 - total_step: 36000, sum_reward: 389.4149919356677
2021-12-01 03:02:39,808 - total_step: 37000, sum_reward: 631.3389994796904
2021-12-01 03:15:51,091 - total_step: 38000, sum_reward: 675.5285574523112
2021-12-01 03:27:39,914 - total_step: 39000, sum_reward: 850.5773164025338
2021-12-01 03:40:11,927 - total_step: 40000, sum_reward: 667.7458144356126
2021-12-01 03:53:41,284 - total_step: 41000, sum_reward: 686.267333773202
